Name,periods,buses,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,NPWB,Value
reactive_power_discr,13.0,,12.0,,,,,12.0,0.0
reactive_power_discr,13.0,,12.0,,,,,13.0,0.0
reactive_power_discr,13.0,,12.0,,,,,14.0,0.0
reactive_power_discr,13.0,,12.0,,,,,15.0,0.0
reactive_power_discr,13.0,,13.0,,,,,1.0,0.0
reactive_power_discr,13.0,,13.0,,,,,2.0,0.0
reactive_power_discr,13.0,,13.0,,,,,3.0,0.0
reactive_power_discr,13.0,,13.0,,,,,4.0,0.0
reactive_power_discr,13.0,,13.0,,,,,5.0,0.0
reactive_power_discr,13.0,,13.0,,,,,6.0,0.0
reactive_power_discr,13.0,,13.0,,,,,7.0,0.0
reactive_power_discr,13.0,,13.0,,,,,8.0,0.0
reactive_power_discr,13.0,,13.0,,,,,9.0,0.0
reactive_power_discr,13.0,,13.0,,,,,10.0,0.0
reactive_power_discr,13.0,,13.0,,,,,11.0,0.0
reactive_power_discr,13.0,,13.0,,,,,12.0,0.0
reactive_power_discr,13.0,,13.0,,,,,13.0,0.0
reactive_power_discr,13.0,,13.0,,,,,14.0,0.0
reactive_power_discr,13.0,,13.0,,,,,15.0,0.0
reactive_power_discr,13.0,,14.0,,,,,1.0,0.0
reactive_power_discr,13.0,,14.0,,,,,2.0,0.0
reactive_power_discr,13.0,,14.0,,,,,3.0,0.0
reactive_power_discr,13.0,,14.0,,,,,4.0,0.0
reactive_power_discr,13.0,,14.0,,,,,5.0,0.0
reactive_power_discr,13.0,,14.0,,,,,6.0,0.0
reactive_power_discr,13.0,,14.0,,,,,7.0,0.0
reactive_power_discr,13.0,,14.0,,,,,8.0,0.0
reactive_power_discr,13.0,,14.0,,,,,9.0,0.0
reactive_power_discr,13.0,,14.0,,,,,10.0,0.0
reactive_power_discr,13.0,,14.0,,,,,11.0,0.0
reactive_power_discr,13.0,,14.0,,,,,12.0,0.0
reactive_power_discr,13.0,,14.0,,,,,13.0,0.0
reactive_power_discr,13.0,,14.0,,,,,14.0,0.0
reactive_power_discr,13.0,,14.0,,,,,15.0,0.0
reactive_power_discr,13.0,,15.0,,,,,1.0,0.0
reactive_power_discr,13.0,,15.0,,,,,2.0,0.0
reactive_power_discr,13.0,,15.0,,,,,3.0,0.0
reactive_power_discr,13.0,,15.0,,,,,4.0,0.0
reactive_power_discr,13.0,,15.0,,,,,5.0,0.0
reactive_power_discr,13.0,,15.0,,,,,6.0,0.0
reactive_power_discr,13.0,,15.0,,,,,7.0,0.0
reactive_power_discr,13.0,,15.0,,,,,8.0,0.0
reactive_power_discr,13.0,,15.0,,,,,9.0,0.0
reactive_power_discr,13.0,,15.0,,,,,10.0,0.0
reactive_power_discr,13.0,,15.0,,,,,11.0,0.0
reactive_power_discr,13.0,,15.0,,,,,12.0,0.0
reactive_power_discr,13.0,,15.0,,,,,13.0,0.0
reactive_power_discr,13.0,,15.0,,,,,14.0,0.0
reactive_power_discr,13.0,,15.0,,,,,15.0,0.0
reactive_power_discr,13.0,,16.0,,,,,1.0,0.0
reactive_power_discr,13.0,,16.0,,,,,2.0,0.0
reactive_power_discr,13.0,,16.0,,,,,3.0,0.0
reactive_power_discr,13.0,,16.0,,,,,4.0,0.0
reactive_power_discr,13.0,,16.0,,,,,5.0,0.0
reactive_power_discr,13.0,,16.0,,,,,6.0,0.0
reactive_power_discr,13.0,,16.0,,,,,7.0,0.0
reactive_power_discr,13.0,,16.0,,,,,8.0,0.0
reactive_power_discr,13.0,,16.0,,,,,9.0,0.0
reactive_power_discr,13.0,,16.0,,,,,10.0,0.0
reactive_power_discr,13.0,,16.0,,,,,11.0,0.0
reactive_power_discr,13.0,,16.0,,,,,12.0,0.0
reactive_power_discr,13.0,,16.0,,,,,13.0,0.0
reactive_power_discr,13.0,,16.0,,,,,14.0,0.0
reactive_power_discr,13.0,,16.0,,,,,15.0,0.0
reactive_power_discr,13.0,,17.0,,,,,1.0,0.0
reactive_power_discr,13.0,,17.0,,,,,2.0,0.0
reactive_power_discr,13.0,,17.0,,,,,3.0,0.0
reactive_power_discr,13.0,,17.0,,,,,4.0,0.0
reactive_power_discr,13.0,,17.0,,,,,5.0,0.0
reactive_power_discr,13.0,,17.0,,,,,6.0,0.0
reactive_power_discr,13.0,,17.0,,,,,7.0,0.0
reactive_power_discr,13.0,,17.0,,,,,8.0,0.0
reactive_power_discr,13.0,,17.0,,,,,9.0,0.0
reactive_power_discr,13.0,,17.0,,,,,10.0,0.0
reactive_power_discr,13.0,,17.0,,,,,11.0,0.0
reactive_power_discr,13.0,,17.0,,,,,12.0,0.0
reactive_power_discr,13.0,,17.0,,,,,13.0,0.0
reactive_power_discr,13.0,,17.0,,,,,14.0,0.0
reactive_power_discr,13.0,,17.0,,,,,15.0,0.0
reactive_power_discr,13.0,,18.0,,,,,1.0,0.000825746864364434
reactive_power_discr,13.0,,18.0,,,,,2.0,0.0015076047483721265
reactive_power_discr,13.0,,18.0,,,,,3.0,0.00275250464204134
reactive_power_discr,13.0,,18.0,,,,,4.0,0.005025376719355532
reactive_power_discr,13.0,,18.0,,,,,5.0,0.009175065787613384
reactive_power_discr,13.0,,18.0,,,,,6.0,0.0019757320185614796
reactive_power_discr,13.0,,18.0,,,,,7.0,0.0
reactive_power_discr,13.0,,18.0,,,,,8.0,0.0
reactive_power_discr,13.0,,18.0,,,,,9.0,0.0
reactive_power_discr,13.0,,18.0,,,,,10.0,0.0
reactive_power_discr,13.0,,18.0,,,,,11.0,0.0
reactive_power_discr,13.0,,18.0,,,,,12.0,0.0
reactive_power_discr,13.0,,18.0,,,,,13.0,0.0
reactive_power_discr,13.0,,18.0,,,,,14.0,0.0
reactive_power_discr,13.0,,18.0,,,,,15.0,0.0
reactive_power_discr,13.0,,19.0,,,,,1.0,0.0
reactive_power_discr,13.0,,19.0,,,,,2.0,0.0
reactive_power_discr,13.0,,19.0,,,,,3.0,0.0
reactive_power_discr,13.0,,19.0,,,,,4.0,0.0
reactive_power_discr,13.0,,19.0,,,,,5.0,0.0
reactive_power_discr,13.0,,19.0,,,,,6.0,0.0
reactive_power_discr,13.0,,19.0,,,,,7.0,0.0
reactive_power_discr,13.0,,19.0,,,,,8.0,0.0
reactive_power_discr,13.0,,19.0,,,,,9.0,0.0
reactive_power_discr,13.0,,19.0,,,,,10.0,0.0
reactive_power_discr,13.0,,19.0,,,,,11.0,0.0
reactive_power_discr,13.0,,19.0,,,,,12.0,0.0
reactive_power_discr,13.0,,19.0,,,,,13.0,0.0
reactive_power_discr,13.0,,19.0,,,,,14.0,0.0
reactive_power_discr,13.0,,19.0,,,,,15.0,0.0
reactive_power_discr,13.0,,20.0,,,,,1.0,0.000825746864364434
reactive_power_discr,13.0,,20.0,,,,,2.0,0.0015076047483721265
reactive_power_discr,13.0,,20.0,,,,,3.0,0.00275250464204134
reactive_power_discr,13.0,,20.0,,,,,4.0,0.005025376719355532
reactive_power_discr,13.0,,20.0,,,,,5.0,0.002404322295923968
reactive_power_discr,13.0,,20.0,,,,,6.0,0.0
reactive_power_discr,13.0,,20.0,,,,,7.0,0.0
reactive_power_discr,13.0,,20.0,,,,,8.0,0.0
reactive_power_discr,13.0,,20.0,,,,,9.0,0.0
reactive_power_discr,13.0,,20.0,,,,,10.0,0.0
reactive_power_discr,13.0,,20.0,,,,,11.0,0.0
reactive_power_discr,13.0,,20.0,,,,,12.0,0.0
reactive_power_discr,13.0,,20.0,,,,,13.0,0.0
reactive_power_discr,13.0,,20.0,,,,,14.0,0.0
reactive_power_discr,13.0,,20.0,,,,,15.0,0.0
reactive_power_discr,13.0,,21.0,,,,,1.0,0.0004342717791352693
reactive_power_discr,13.0,,21.0,,,,,2.0,0.0006228637572885814
reactive_power_discr,13.0,,21.0,,,,,3.0,0.0008933559093251696
reactive_power_discr,13.0,,21.0,,,,,4.0,0.0012813151694688243
reactive_power_discr,13.0,,21.0,,,,,5.0,0.001837754187747051
reactive_power_discr,13.0,,21.0,,,,,6.0,-0.00028516306594905585
reactive_power_discr,13.0,,21.0,,,,,7.0,0.0
reactive_power_discr,13.0,,21.0,,,,,8.0,0.0
reactive_power_discr,13.0,,21.0,,,,,9.0,0.0
reactive_power_discr,13.0,,21.0,,,,,10.0,0.0
reactive_power_discr,13.0,,21.0,,,,,11.0,0.0
reactive_power_discr,13.0,,21.0,,,,,12.0,0.0
reactive_power_discr,13.0,,21.0,,,,,13.0,0.0
reactive_power_discr,13.0,,21.0,,,,,14.0,0.0
reactive_power_discr,13.0,,21.0,,,,,15.0,0.0
reactive_power_discr,13.0,,22.0,,,,,1.0,0.0
reactive_power_discr,13.0,,22.0,,,,,2.0,0.0
reactive_power_discr,13.0,,22.0,,,,,3.0,0.0
reactive_power_discr,13.0,,22.0,,,,,4.0,0.0
reactive_power_discr,13.0,,22.0,,,,,5.0,0.0
reactive_power_discr,13.0,,22.0,,,,,6.0,0.0
reactive_power_discr,13.0,,22.0,,,,,7.0,0.0
reactive_power_discr,13.0,,22.0,,,,,8.0,0.0
reactive_power_discr,13.0,,22.0,,,,,9.0,0.0
reactive_power_discr,13.0,,22.0,,,,,10.0,0.0
reactive_power_discr,13.0,,22.0,,,,,11.0,0.0
reactive_power_discr,13.0,,22.0,,,,,12.0,0.0
reactive_power_discr,13.0,,22.0,,,,,13.0,0.0
reactive_power_discr,13.0,,22.0,,,,,14.0,0.0
reactive_power_discr,13.0,,22.0,,,,,15.0,0.0
reactive_power_discr,13.0,,23.0,,,,,1.0,0.0004342717791352693
reactive_power_discr,13.0,,23.0,,,,,2.0,0.0006228637572885814
reactive_power_discr,13.0,,23.0,,,,,3.0,0.0008933559093251696
reactive_power_discr,13.0,,23.0,,,,,4.0,0.0012813151694688243
reactive_power_discr,13.0,,23.0,,,,,5.0,0.0005620142814797111
reactive_power_discr,13.0,,23.0,,,,,6.0,0.0
reactive_power_discr,13.0,,23.0,,,,,7.0,0.0
reactive_power_discr,13.0,,23.0,,,,,8.0,0.0
reactive_power_discr,13.0,,23.0,,,,,9.0,0.0
reactive_power_discr,13.0,,23.0,,,,,10.0,0.0
reactive_power_discr,13.0,,23.0,,,,,11.0,0.0
reactive_power_discr,13.0,,23.0,,,,,12.0,0.0
reactive_power_discr,13.0,,23.0,,,,,13.0,0.0
reactive_power_discr,13.0,,23.0,,,,,14.0,0.0
reactive_power_discr,13.0,,23.0,,,,,15.0,0.0
reactive_power_discr,13.0,,24.0,,,,,1.0,0.0004342717791352693
reactive_power_discr,13.0,,24.0,,,,,2.0,0.0006228637572885814
reactive_power_discr,13.0,,24.0,,,,,3.0,0.0008933559093251696
reactive_power_discr,13.0,,24.0,,,,,4.0,0.0012813151694688243
reactive_power_discr,13.0,,24.0,,,,,5.0,-0.0008205511034385781
reactive_power_discr,13.0,,24.0,,,,,6.0,0.0
reactive_power_discr,13.0,,24.0,,,,,7.0,0.0
reactive_power_discr,13.0,,24.0,,,,,8.0,0.0
reactive_power_discr,13.0,,24.0,,,,,9.0,0.0
reactive_power_discr,13.0,,24.0,,,,,10.0,0.0
reactive_power_discr,13.0,,24.0,,,,,11.0,0.0
reactive_power_discr,13.0,,24.0,,,,,12.0,0.0
reactive_power_discr,13.0,,24.0,,,,,13.0,0.0
reactive_power_discr,13.0,,24.0,,,,,14.0,0.0
reactive_power_discr,13.0,,24.0,,,,,15.0,0.0
reactive_power_discr,13.0,,25.0,,,,,1.0,0.0
reactive_power_discr,13.0,,25.0,,,,,2.0,0.0
reactive_power_discr,13.0,,25.0,,,,,3.0,0.0
reactive_power_discr,13.0,,25.0,,,,,4.0,0.0
reactive_power_discr,13.0,,25.0,,,,,5.0,0.0
reactive_power_discr,13.0,,25.0,,,,,6.0,0.0
reactive_power_discr,13.0,,25.0,,,,,7.0,0.0
reactive_power_discr,13.0,,25.0,,,,,8.0,0.0
reactive_power_discr,13.0,,25.0,,,,,9.0,0.0
reactive_power_discr,13.0,,25.0,,,,,10.0,0.0
reactive_power_discr,13.0,,25.0,,,,,11.0,0.0
reactive_power_discr,13.0,,25.0,,,,,12.0,0.0
reactive_power_discr,13.0,,25.0,,,,,13.0,0.0
reactive_power_discr,13.0,,25.0,,,,,14.0,0.0
reactive_power_discr,13.0,,25.0,,,,,15.0,0.0
reactive_power_discr,13.0,,26.0,,,,,1.0,0.0
reactive_power_discr,13.0,,26.0,,,,,2.0,0.0
reactive_power_discr,13.0,,26.0,,,,,3.0,0.0
reactive_power_discr,13.0,,26.0,,,,,4.0,0.0
reactive_power_discr,13.0,,26.0,,,,,5.0,0.0
reactive_power_discr,13.0,,26.0,,,,,6.0,0.0
reactive_power_discr,13.0,,26.0,,,,,7.0,0.0
reactive_power_discr,13.0,,26.0,,,,,8.0,0.0
reactive_power_discr,13.0,,26.0,,,,,9.0,0.0
reactive_power_discr,13.0,,26.0,,,,,10.0,0.0
reactive_power_discr,13.0,,26.0,,,,,11.0,0.0
reactive_power_discr,13.0,,26.0,,,,,12.0,0.0
reactive_power_discr,13.0,,26.0,,,,,13.0,0.0
reactive_power_discr,13.0,,26.0,,,,,14.0,0.0
reactive_power_discr,13.0,,26.0,,,,,15.0,0.0
reactive_power_discr,13.0,,27.0,,,,,1.0,0.0
reactive_power_discr,13.0,,27.0,,,,,2.0,0.0
reactive_power_discr,13.0,,27.0,,,,,3.0,0.0
reactive_power_discr,13.0,,27.0,,,,,4.0,0.0
reactive_power_discr,13.0,,27.0,,,,,5.0,0.0
reactive_power_discr,13.0,,27.0,,,,,6.0,0.0
reactive_power_discr,13.0,,27.0,,,,,7.0,0.0
reactive_power_discr,13.0,,27.0,,,,,8.0,0.0
reactive_power_discr,13.0,,27.0,,,,,9.0,0.0
reactive_power_discr,13.0,,27.0,,,,,10.0,0.0
reactive_power_discr,13.0,,27.0,,,,,11.0,0.0
reactive_power_discr,13.0,,27.0,,,,,12.0,0.0
reactive_power_discr,13.0,,27.0,,,,,13.0,0.0
reactive_power_discr,13.0,,27.0,,,,,14.0,0.0
reactive_power_discr,13.0,,27.0,,,,,15.0,0.0
reactive_power_discr,14.0,,0.0,,,,,1.0,0.000825746864364434
reactive_power_discr,14.0,,0.0,,,,,2.0,0.0015076047483721265
reactive_power_discr,14.0,,0.0,,,,,3.0,0.00275250464204134
reactive_power_discr,14.0,,0.0,,,,,4.0,0.005025376719355532
reactive_power_discr,14.0,,0.0,,,,,5.0,0.009175065787613384
reactive_power_discr,14.0,,0.0,,,,,6.0,0.016751347592072526
reactive_power_discr,14.0,,0.0,,,,,7.0,0.0038926429093378016
reactive_power_discr,14.0,,0.0,,,,,8.0,0.0
reactive_power_discr,14.0,,0.0,,,,,9.0,0.0
reactive_power_discr,14.0,,0.0,,,,,10.0,0.0
reactive_power_discr,14.0,,0.0,,,,,11.0,0.0
reactive_power_discr,14.0,,0.0,,,,,12.0,0.0
reactive_power_discr,14.0,,0.0,,,,,13.0,0.0
reactive_power_discr,14.0,,0.0,,,,,14.0,0.0
reactive_power_discr,14.0,,0.0,,,,,15.0,0.0
reactive_power_discr,14.0,,1.0,,,,,1.0,0.0
reactive_power_discr,14.0,,1.0,,,,,2.0,0.0
reactive_power_discr,14.0,,1.0,,,,,3.0,0.0
reactive_power_discr,14.0,,1.0,,,,,4.0,0.0
reactive_power_discr,14.0,,1.0,,,,,5.0,0.0
reactive_power_discr,14.0,,1.0,,,,,6.0,0.0
reactive_power_discr,14.0,,1.0,,,,,7.0,0.0
reactive_power_discr,14.0,,1.0,,,,,8.0,0.0
reactive_power_discr,14.0,,1.0,,,,,9.0,0.0
reactive_power_discr,14.0,,1.0,,,,,10.0,0.0
reactive_power_discr,14.0,,1.0,,,,,11.0,0.0
reactive_power_discr,14.0,,1.0,,,,,12.0,0.0
reactive_power_discr,14.0,,1.0,,,,,13.0,0.0
reactive_power_discr,14.0,,1.0,,,,,14.0,0.0
reactive_power_discr,14.0,,1.0,,,,,15.0,0.0
reactive_power_discr,14.0,,2.0,,,,,1.0,0.0
reactive_power_discr,14.0,,2.0,,,,,2.0,0.0
reactive_power_discr,14.0,,2.0,,,,,3.0,0.0
reactive_power_discr,14.0,,2.0,,,,,4.0,0.0
reactive_power_discr,14.0,,2.0,,,,,5.0,0.0
reactive_power_discr,14.0,,2.0,,,,,6.0,0.0
reactive_power_discr,14.0,,2.0,,,,,7.0,0.0
reactive_power_discr,14.0,,2.0,,,,,8.0,0.0
reactive_power_discr,14.0,,2.0,,,,,9.0,0.0
reactive_power_discr,14.0,,2.0,,,,,10.0,0.0
reactive_power_discr,14.0,,2.0,,,,,11.0,0.0
reactive_power_discr,14.0,,2.0,,,,,12.0,0.0
reactive_power_discr,14.0,,2.0,,,,,13.0,0.0
reactive_power_discr,14.0,,2.0,,,,,14.0,0.0
reactive_power_discr,14.0,,2.0,,,,,15.0,0.0
reactive_power_discr,14.0,,3.0,,,,,1.0,0.0
reactive_power_discr,14.0,,3.0,,,,,2.0,0.0
reactive_power_discr,14.0,,3.0,,,,,3.0,0.0
reactive_power_discr,14.0,,3.0,,,,,4.0,0.0
reactive_power_discr,14.0,,3.0,,,,,5.0,0.0
reactive_power_discr,14.0,,3.0,,,,,6.0,0.0
reactive_power_discr,14.0,,3.0,,,,,7.0,0.0
reactive_power_discr,14.0,,3.0,,,,,8.0,0.0
reactive_power_discr,14.0,,3.0,,,,,9.0,0.0
reactive_power_discr,14.0,,3.0,,,,,10.0,0.0
reactive_power_discr,14.0,,3.0,,,,,11.0,0.0
reactive_power_discr,14.0,,3.0,,,,,12.0,0.0
reactive_power_discr,14.0,,3.0,,,,,13.0,0.0
reactive_power_discr,14.0,,3.0,,,,,14.0,0.0
reactive_power_discr,14.0,,3.0,,,,,15.0,0.0
reactive_power_discr,14.0,,4.0,,,,,1.0,0.000825746864364434
reactive_power_discr,14.0,,4.0,,,,,2.0,0.0015076047483721265
reactive_power_discr,14.0,,4.0,,,,,3.0,0.00275250464204134
reactive_power_discr,14.0,,4.0,,,,,4.0,0.005025376719355532
reactive_power_discr,14.0,,4.0,,,,,5.0,0.009175065787613384
reactive_power_discr,14.0,,4.0,,,,,6.0,0.011324763749210907
reactive_power_discr,14.0,,4.0,,,,,7.0,0.0
reactive_power_discr,14.0,,4.0,,,,,8.0,0.0
reactive_power_discr,14.0,,4.0,,,,,9.0,0.0
reactive_power_discr,14.0,,4.0,,,,,10.0,0.0
reactive_power_discr,14.0,,4.0,,,,,11.0,0.0
reactive_power_discr,14.0,,4.0,,,,,12.0,0.0
reactive_power_discr,14.0,,4.0,,,,,13.0,0.0
reactive_power_discr,14.0,,4.0,,,,,14.0,0.0
reactive_power_discr,14.0,,4.0,,,,,15.0,0.0
reactive_power_discr,14.0,,5.0,,,,,1.0,0.0
reactive_power_discr,14.0,,5.0,,,,,2.0,0.0
reactive_power_discr,14.0,,5.0,,,,,3.0,0.0
reactive_power_discr,14.0,,5.0,,,,,4.0,0.0
reactive_power_discr,14.0,,5.0,,,,,5.0,0.0
reactive_power_discr,14.0,,5.0,,,,,6.0,0.0
reactive_power_discr,14.0,,5.0,,,,,7.0,0.0
reactive_power_discr,14.0,,5.0,,,,,8.0,0.0
reactive_power_discr,14.0,,5.0,,,,,9.0,0.0
reactive_power_discr,14.0,,5.0,,,,,10.0,0.0
reactive_power_discr,14.0,,5.0,,,,,11.0,0.0
reactive_power_discr,14.0,,5.0,,,,,12.0,0.0
reactive_power_discr,14.0,,5.0,,,,,13.0,0.0
reactive_power_discr,14.0,,5.0,,,,,14.0,0.0
reactive_power_discr,14.0,,5.0,,,,,15.0,0.0
reactive_power_discr,14.0,,6.0,,,,,1.0,0.0
reactive_power_discr,14.0,,6.0,,,,,2.0,0.0
reactive_power_discr,14.0,,6.0,,,,,3.0,0.0
reactive_power_discr,14.0,,6.0,,,,,4.0,0.0
reactive_power_discr,14.0,,6.0,,,,,5.0,0.0
reactive_power_discr,14.0,,6.0,,,,,6.0,0.0
reactive_power_discr,14.0,,6.0,,,,,7.0,0.0
reactive_power_discr,14.0,,6.0,,,,,8.0,0.0
reactive_power_discr,14.0,,6.0,,,,,9.0,0.0
reactive_power_discr,14.0,,6.0,,,,,10.0,0.0
reactive_power_discr,14.0,,6.0,,,,,11.0,0.0
reactive_power_discr,14.0,,6.0,,,,,12.0,0.0
reactive_power_discr,14.0,,6.0,,,,,13.0,0.0
reactive_power_discr,14.0,,6.0,,,,,14.0,0.0
reactive_power_discr,14.0,,6.0,,,,,15.0,0.0
reactive_power_discr,14.0,,7.0,,,,,1.0,0.0
reactive_power_discr,14.0,,7.0,,,,,2.0,0.0
reactive_power_discr,14.0,,7.0,,,,,3.0,0.0
reactive_power_discr,14.0,,7.0,,,,,4.0,0.0
reactive_power_discr,14.0,,7.0,,,,,5.0,0.0
reactive_power_discr,14.0,,7.0,,,,,6.0,0.0
reactive_power_discr,14.0,,7.0,,,,,7.0,0.0
reactive_power_discr,14.0,,7.0,,,,,8.0,0.0
reactive_power_discr,14.0,,7.0,,,,,9.0,0.0
reactive_power_discr,14.0,,7.0,,,,,10.0,0.0
reactive_power_discr,14.0,,7.0,,,,,11.0,0.0
reactive_power_discr,14.0,,7.0,,,,,12.0,0.0
reactive_power_discr,14.0,,7.0,,,,,13.0,0.0
reactive_power_discr,14.0,,7.0,,,,,14.0,0.0
reactive_power_discr,14.0,,7.0,,,,,15.0,0.0
reactive_power_discr,14.0,,8.0,,,,,1.0,0.0
reactive_power_discr,14.0,,8.0,,,,,2.0,0.0
reactive_power_discr,14.0,,8.0,,,,,3.0,0.0
reactive_power_discr,14.0,,8.0,,,,,4.0,0.0
reactive_power_discr,14.0,,8.0,,,,,5.0,0.0
reactive_power_discr,14.0,,8.0,,,,,6.0,0.0
reactive_power_discr,14.0,,8.0,,,,,7.0,0.0
reactive_power_discr,14.0,,8.0,,,,,8.0,0.0
reactive_power_discr,14.0,,8.0,,,,,9.0,0.0
reactive_power_discr,14.0,,8.0,,,,,10.0,0.0
reactive_power_discr,14.0,,8.0,,,,,11.0,0.0
reactive_power_discr,14.0,,8.0,,,,,12.0,0.0
reactive_power_discr,14.0,,8.0,,,,,13.0,0.0
reactive_power_discr,14.0,,8.0,,,,,14.0,0.0
reactive_power_discr,14.0,,8.0,,,,,15.0,0.0
reactive_power_discr,14.0,,9.0,,,,,1.0,0.0
reactive_power_discr,14.0,,9.0,,,,,2.0,0.0
reactive_power_discr,14.0,,9.0,,,,,3.0,0.0
reactive_power_discr,14.0,,9.0,,,,,4.0,0.0
reactive_power_discr,14.0,,9.0,,,,,5.0,0.0
reactive_power_discr,14.0,,9.0,,,,,6.0,0.0
reactive_power_discr,14.0,,9.0,,,,,7.0,0.0
reactive_power_discr,14.0,,9.0,,,,,8.0,0.0
reactive_power_discr,14.0,,9.0,,,,,9.0,0.0
reactive_power_discr,14.0,,9.0,,,,,10.0,0.0
reactive_power_discr,14.0,,9.0,,,,,11.0,0.0
reactive_power_discr,14.0,,9.0,,,,,12.0,0.0
reactive_power_discr,14.0,,9.0,,,,,13.0,0.0
reactive_power_discr,14.0,,9.0,,,,,14.0,0.0
reactive_power_discr,14.0,,9.0,,,,,15.0,0.0
reactive_power_discr,14.0,,10.0,,,,,1.0,0.0004342717791352693
reactive_power_discr,14.0,,10.0,,,,,2.0,0.0006228637572885814
reactive_power_discr,14.0,,10.0,,,,,3.0,0.0008933559093251696
reactive_power_discr,14.0,,10.0,,,,,4.0,0.0012813151694688243
reactive_power_discr,14.0,,10.0,,,,,5.0,0.001837754187747051
reactive_power_discr,14.0,,10.0,,,,,6.0,0.0026358389684732605
reactive_power_discr,14.0,,10.0,,,,,7.0,0.0016120410943866337
reactive_power_discr,14.0,,10.0,,,,,8.0,0.0
reactive_power_discr,14.0,,10.0,,,,,9.0,0.0
reactive_power_discr,14.0,,10.0,,,,,10.0,0.0
reactive_power_discr,14.0,,10.0,,,,,11.0,0.0
reactive_power_discr,14.0,,10.0,,,,,12.0,0.0
reactive_power_discr,14.0,,10.0,,,,,13.0,0.0
reactive_power_discr,14.0,,10.0,,,,,14.0,0.0
reactive_power_discr,14.0,,10.0,,,,,15.0,0.0
reactive_power_discr,14.0,,11.0,,,,,1.0,0.0
reactive_power_discr,14.0,,11.0,,,,,2.0,0.0
reactive_power_discr,14.0,,11.0,,,,,3.0,0.0
reactive_power_discr,14.0,,11.0,,,,,4.0,0.0
reactive_power_discr,14.0,,11.0,,,,,5.0,0.0
reactive_power_discr,14.0,,11.0,,,,,6.0,0.0
reactive_power_discr,14.0,,11.0,,,,,7.0,0.0
reactive_power_discr,14.0,,11.0,,,,,8.0,0.0
reactive_power_discr,14.0,,11.0,,,,,9.0,0.0
reactive_power_discr,14.0,,11.0,,,,,10.0,0.0
reactive_power_discr,14.0,,11.0,,,,,11.0,0.0
reactive_power_discr,14.0,,11.0,,,,,12.0,0.0
reactive_power_discr,14.0,,11.0,,,,,13.0,0.0
reactive_power_discr,14.0,,11.0,,,,,14.0,0.0
reactive_power_discr,14.0,,11.0,,,,,15.0,0.0
reactive_power_discr,14.0,,12.0,,,,,1.0,0.0
reactive_power_discr,14.0,,12.0,,,,,2.0,0.0
reactive_power_discr,14.0,,12.0,,,,,3.0,0.0
reactive_power_discr,14.0,,12.0,,,,,4.0,0.0
reactive_power_discr,14.0,,12.0,,,,,5.0,0.0
reactive_power_discr,14.0,,12.0,,,,,6.0,0.0
reactive_power_discr,14.0,,12.0,,,,,7.0,0.0
reactive_power_discr,14.0,,12.0,,,,,8.0,0.0
reactive_power_discr,14.0,,12.0,,,,,9.0,0.0
reactive_power_discr,14.0,,12.0,,,,,10.0,0.0
reactive_power_discr,14.0,,12.0,,,,,11.0,0.0
reactive_power_discr,14.0,,12.0,,,,,12.0,0.0
reactive_power_discr,14.0,,12.0,,,,,13.0,0.0
reactive_power_discr,14.0,,12.0,,,,,14.0,0.0
reactive_power_discr,14.0,,12.0,,,,,15.0,0.0
reactive_power_discr,14.0,,13.0,,,,,1.0,0.0
reactive_power_discr,14.0,,13.0,,,,,2.0,0.0
reactive_power_discr,14.0,,13.0,,,,,3.0,0.0
reactive_power_discr,14.0,,13.0,,,,,4.0,0.0
reactive_power_discr,14.0,,13.0,,,,,5.0,0.0
reactive_power_discr,14.0,,13.0,,,,,6.0,0.0
reactive_power_discr,14.0,,13.0,,,,,7.0,0.0
reactive_power_discr,14.0,,13.0,,,,,8.0,0.0
reactive_power_discr,14.0,,13.0,,,,,9.0,0.0
reactive_power_discr,14.0,,13.0,,,,,10.0,0.0
reactive_power_discr,14.0,,13.0,,,,,11.0,0.0
reactive_power_discr,14.0,,13.0,,,,,12.0,0.0
reactive_power_discr,14.0,,13.0,,,,,13.0,0.0
reactive_power_discr,14.0,,13.0,,,,,14.0,0.0
reactive_power_discr,14.0,,13.0,,,,,15.0,0.0
reactive_power_discr,14.0,,14.0,,,,,1.0,0.0
reactive_power_discr,14.0,,14.0,,,,,2.0,0.0
reactive_power_discr,14.0,,14.0,,,,,3.0,0.0
reactive_power_discr,14.0,,14.0,,,,,4.0,0.0
reactive_power_discr,14.0,,14.0,,,,,5.0,0.0
reactive_power_discr,14.0,,14.0,,,,,6.0,0.0
reactive_power_discr,14.0,,14.0,,,,,7.0,0.0
reactive_power_discr,14.0,,14.0,,,,,8.0,0.0
reactive_power_discr,14.0,,14.0,,,,,9.0,0.0
reactive_power_discr,14.0,,14.0,,,,,10.0,0.0
reactive_power_discr,14.0,,14.0,,,,,11.0,0.0
reactive_power_discr,14.0,,14.0,,,,,12.0,0.0
reactive_power_discr,14.0,,14.0,,,,,13.0,0.0
reactive_power_discr,14.0,,14.0,,,,,14.0,0.0
reactive_power_discr,14.0,,14.0,,,,,15.0,0.0
reactive_power_discr,14.0,,15.0,,,,,1.0,0.0
reactive_power_discr,14.0,,15.0,,,,,2.0,0.0
